isbn13,store_id,base_demand,conf_low,conf_high
9771739361205,8,0.7,0.52,0.87
9771739361205,9,0.67,0.5,0.84
9771739361205,10,0.67,0.5,0.84
9771739361205,11,0.66,0.49,0.82
9771739361205,12,0.66,0.49,0.82
9771739361205,13,0.76,0.57,0.95
9771739361205,14,0.76,0.57,0.95
9771739361205,15,4.81,3.61,6.02
9771739361205,16,4.81,3.61,6.02
9772586476005,1,0.7,0.52,0.87
9772586476005,2,0.7,0.52,0.87
9772586476005,3,0.67,0.5,0.84
9772586476005,4,0.67,0.5,0.84
9772586476005,5,0.66,0.49,0.82
9772586476005,6,0.66,0.49,0.82
9772586476005,7,0.7,0.52,0.87
9772586476005,8,0.29,0.21,0.36
9772586476005,9,0.67,0.5,0.84
9772586476005,10,0.67,0.5,0.84
9772586476005,11,0.66,0.49,0.82
9772586476005,12,0.66,0.49,0.82
9772586476005,13,0.76,0.57,0.95
9772586476005,14,0.76,0.57,0.95
9772586476005,15,4.81,3.61,6.02
9772586476005,16,4.4,3.3,5.5
9772672166001,1,0.7,0.52,0.87
9772672166001,2,0.7,0.52,0.87
9772672166001,3,0.67,0.5,0.84
9772672166001,4,0.67,0.5,0.84
9772672166001,5,0.66,0.49,0.82
9772672166001,6,0.66,0.49,0.82
9772672166001,7,0.7,0.52,0.87
9772672166001,8,0.7,0.52,0.87
9772672166001,9,0.67,0.5,0.84
9772672166001,10,0.67,0.5,0.84
9772672166001,11,0.66,0.49,0.82
9772672166001,12,0.43,0.32,0.54
9772672166001,13,0.76,0.57,0.95
9772672166001,14,0.76,0.57,0.95
9772672166001,15,4.81,3.61,6.02
9772672166001,16,4.58,3.44,5.73
9772733432007,1,0.7,0.52,0.87
9772733432007,2,0.7,0.52,0.87
9772733432007,3,0.67,0.5,0.84
9772733432007,4,0.67,0.5,0.84
9772733432007,5,0.66,0.49,0.82
9772733432007,6,0.57,0.43,0.71
9772733432007,7,0.7,0.52,0.87
9772733432007,8,0.43,0.32,0.54
9772733432007,9,0.67,0.5,0.84
9772733432007,10,0.67,0.5,0.84
9772733432007,11,0.66,0.49,0.82
9772733432007,12,0.66,0.49,0.82
9772733432007,13,0.77,0.58,0.97
9772733432007,14,0.76,0.57,0.95
9772733432007,15,4.74,3.56,5.93
9772733432007,16,4.54,3.41,5.68
9772765476000,1,0.7,0.52,0.87
9772765476000,2,0.7,0.52,0.87
9772765476000,3,0.67,0.5,0.84
9772765476000,4,0.67,0.5,0.84
9772765476000,5,0.66,0.49,0.82
9772765476000,6,0.66,0.49,0.82
9772765476000,7,0.7,0.52,0.87
9772765476000,8,0.7,0.52,0.87
9772765476000,9,0.67,0.5,0.84
9772765476000,10,0.67,0.5,0.84
9772765476000,11,0.66,0.49,0.82
9772765476000,12,0.66,0.49,0.82
9772765476000,13,0.76,0.57,0.95
9772765476000,14,0.76,0.57,0.95
9772765476000,15,4.81,3.61,6.02
9772765476000,16,4.81,3.61,6.02
9772950989001,1,0.7,0.52,0.87
9772950989001,2,0.7,0.52,0.87
9772950989001,3,0.67,0.5,0.84
9772950989001,4,0.67,0.5,0.84
9772950989001,5,0.66,0.49,0.82
9772950989001,6,0.66,0.49,0.82
9772950989001,7,0.7,0.52,0.87
9772950989001,8,0.7,0.52,0.87
9772950989001,9,0.67,0.5,0.84
9772950989001,10,0.67,0.5,0.84
9772950989001,11,0.66,0.49,0.82
9772950989001,12,0.66,0.49,0.82
9772950989001,13,0.76,0.57,0.95
9772950989001,14,0.76,0.57,0.95
9772950989001,15,4.81,3.61,6.02
9772950989001,16,4.81,3.61,6.02
9788901285146,1,0.7,0.52,0.87
9788901285146,2,0.7,0.52,0.87
9788901285146,3,0.67,0.5,0.84
9788901285146,4,0.67,0.5,0.84
9788901285146,5,0.43,0.32,0.54
9788901285146,6,0.66,0.49,0.82
9788901285146,7,0.7,0.52,0.87
9788901285146,8,0.7,0.52,0.87
9788901285146,9,0.67,0.5,0.84
9788901285146,10,0.67,0.5,0.84
9788901285146,11,0.66,0.49,0.82
9788901285146,12,0.43,0.32,0.54
9788901285146,13,0.76,0.57,0.95
9788901285146,14,0.76,0.57,0.95
9788901285146,15,4.58,3.44,5.73
9788901285146,16,4.58,3.44,5.73
9788901285894,1,0.7,0.52,0.87
9788901285894,2,0.7,0.52,0.87
9788901285894,3,0.67,0.5,0.84
9788901285894,4,0.67,0.5,0.84
9788901285894,5,0.66,0.49,0.82
9788901285894,6,0.66,0.49,0.82
9788901285894,7,0.7,0.52,0.87
9788901285894,8,0.7,0.52,0.87
9788901285894,9,0.67,0.5,0.84
9788901285894,10,0.29,0.21,0.36
9788901285894,11,0.66,0.49,0.82
9788901285894,12,0.66,0.49,0.82
9788901285894,13,0.76,0.57,0.95
9788901285894,14,0.76,0.57,0.95
9788901285894,15,4.81,3.61,6.02
9788901285894,16,4.43,3.32,5.54
9788901288451,1,0.7,0.52,0.87
9788901288451,2,0.7,0.52,0.87
9788901288451,3,0.67,0.5,0.84
9788901288451,4,0.67,0.5,0.84
9788901288451,5,0.66,0.49,0.82
9788901288451,6,0.66,0.49,0.82
9788901288451,7,0.7,0.52,0.87
9788901288451,8,0.7,0.52,0.87
9788901288451,9,0.67,0.5,0.84
9788901288451,10,0.67,0.5,0.84
9788901288451,11,0.66,0.49,0.82
9788901288451,12,0.66,0.49,0.82
9788901288451,13,0.76,0.57,0.95
9788901288451,14,0.76,0.57,0.95
9788901288451,15,4.81,3.61,6.02
9788901288451,16,4.81,3.61,6.02
9788901297453,1,0.7,0.52,0.87
9788901297453,2,0.7,0.52,0.87
9788901297453,3,0.67,0.5,0.84
9788901297453,4,0.67,0.5,0.84
9788901297453,5,0.66,0.49,0.82
9788901297453,6,0.66,0.49,0.82
9788901297453,7,0.7,0.52,0.87
9788901297453,8,0.7,0.52,0.87
9788901297453,9,0.67,0.5,0.84
9788901297453,10,0.29,0.21,0.36
9788901297453,11,0.66,0.49,0.82
9788901297453,12,0.66,0.49,0.82
9788901297453,13,0.76,0.57,0.95
9788901297453,14,0.76,0.57,0.95
9788901297453,15,4.81,3.61,6.02
9788901297453,16,4.43,3.32,5.54
9788901297842,1,0.7,0.52,0.87
9788901297842,2,0.7,0.52,0.87
9788901297842,3,0.67,0.5,0.84
9788901297842,4,0.67,0.5,0.84
9788901297842,5,0.66,0.49,0.82
9788901297842,6,0.66,0.49,0.82
9788901297842,7,0.7,0.52,0.87
9788901297842,8,0.7,0.52,0.87
9788901297842,9,0.67,0.5,0.84
9788901297842,10,0.67,0.5,0.84
9788901297842,11,0.66,0.49,0.82
9788901297842,12,0.66,0.49,0.82
9788901297842,13,0.76,0.57,0.95
9788901297842,14,0.76,0.57,0.95
9788901297842,15,4.81,3.61,6.02
9788901297842,16,4.81,3.61,6.02
9788901299365,1,0.7,0.52,0.87
9788901299365,2,0.7,0.52,0.87
9788901299365,3,0.67,0.5,0.84
9788901299365,4,0.67,0.5,0.84
9788901299365,5,0.66,0.49,0.82
9788901299365,6,0.66,0.49,0.82
9788901299365,7,0.7,0.52,0.87
9788901299365,8,0.7,0.52,0.87
9788901299365,9,0.67,0.5,0.84
9788901299365,10,0.67,0.5,0.84
9788901299365,11,0.66,0.49,0.82
9788901299365,12,0.66,0.49,0.82
9788901299365,13,0.76,0.57,0.95
9788901299365,14,0.76,0.57,0.95
9788901299365,15,4.81,3.61,6.02
9788901299365,16,4.81,3.61,6.02
9788901299532,1,0.7,0.52,0.87
9788901299532,2,0.7,0.52,0.87
9788901299532,3,0.86,0.64,1.07
9788901299532,4,0.67,0.5,0.84
9788901299532,5,0.66,0.49,0.82
9788901299532,6,0.66,0.49,0.82
9788901299532,7,0.7,0.52,0.87
9788901299532,8,0.7,0.52,0.87
9788901299532,9,0.67,0.5,0.84
9788901299532,10,0.67,0.5,0.84
9788901299532,11,0.66,0.49,0.82
9788901299532,12,0.66,0.49,0.82
9788901299532,13,0.76,0.57,0.95
9788901299532,14,0.76,0.57,0.95
9788901299532,15,5,3.75,6.25
9788901299532,16,4.81,3.61,6.02
9788901299709,1,0.7,0.52,0.87
9788901299709,2,0.7,0.52,0.87
9788901299709,3,0.67,0.5,0.84
9788901299709,4,0.43,0.32,0.54
9788901299709,5,0.66,0.49,0.82
9788901299709,6,0.66,0.49,0.82
9788901299709,7,0.7,0.52,0.87
9788901299709,8,0.7,0.52,0.87
9788901299709,9,0.67,0.5,0.84
9788901299709,10,0.67,0.5,0.84
9788901299709,11,0.66,0.49,0.82
9788901299709,12,0.66,0.49,0.82
9788901299709,13,0.76,0.57,0.95
9788901299709,14,0.76,0.57,0.95
9788901299709,15,4.57,3.43,5.72
9788901299709,16,4.81,3.61,6.02
9788901299778,1,14.47,10.85,18.09
9788901299778,2,14.54,10.9,18.17
9788901299778,3,14.51,10.89,18.14
9788901299778,4,14.48,10.86,18.1
9788901299778,5,14.72,11.04,18.4
9788901299778,6,14.77,11.07,18.46
9788901299778,7,13.86,10.4,17.33
9788901299778,8,14.31,10.73,17.89
9788901299778,9,14.44,10.83,18.05
9788901299778,10,14.21,10.66,17.76
9788901299778,11,14.73,11.05,18.41
9788901299778,12,13.54,10.15,16.92
9788901299778,13,14.04,10.53,17.55
9788901299778,14,14.63,10.97,18.29
9788901299778,15,101.52,76.14,126.9
9788901299778,16,99.73,74.79,124.66
9788901299853,1,0.7,0.52,0.87
9788901299853,2,0.7,0.52,0.87
9788901299853,3,0.67,0.5,0.84
9788901299853,4,0.67,0.5,0.84
9788901299853,5,0.66,0.49,0.82
9788901299853,6,0.66,0.49,0.82
9788901299853,7,0.7,0.52,0.87
9788901299853,8,0.7,0.52,0.87
9788901299853,9,0.67,0.5,0.84
9788901299853,10,0.67,0.5,0.84
9788901299853,11,0.66,0.49,0.82
9788901299853,12,0.14,0.11,0.18
9788901299853,13,0.76,0.57,0.95
9788901299853,14,0.76,0.57,0.95
9788901299853,15,4.81,3.61,6.02
9788901299853,16,4.3,3.22,5.37
9788903361879,1,14.4,10.8,18.01
9788903361879,2,14.57,10.93,18.21
9788903361879,3,14.45,10.84,18.07
9788903361879,4,14.64,10.98,18.3
9788903361879,5,14.46,10.84,18.07
9788903361879,6,14.51,10.89,18.14
9788903361879,7,14.59,10.94,18.24
9788903361879,8,14.54,10.9,18.17
9788903361879,9,14.47,10.85,18.09
9788903361879,10,14.68,11.01,18.35
9788903361879,11,14.57,10.93,18.21
9788903361879,12,14.43,10.82,18.03
9788903361879,13,15.08,11.31,18.86
9788903361879,14,14.53,10.9,18.16
9788903361879,15,102.12,76.59,127.65
9788903361879,16,101.8,76.35,127.25
9788925569482,1,0.7,0.52,0.87
9788925569482,2,0.7,0.52,0.87
9788925569482,3,0.67,0.5,0.84
9788925569482,4,0.14,0.11,0.18
9788925569482,5,0.66,0.49,0.82
9788925569482,6,0.66,0.49,0.82
9788925569482,7,0.7,0.52,0.87
9788925569482,8,0.7,0.52,0.87
9788925569482,9,0.67,0.5,0.84
9788925569482,10,0.67,0.5,0.84
9788925569482,11,0.66,0.49,0.82
9788925569482,12,0.57,0.43,0.71
9788925569482,13,0.76,0.57,0.95
9788925569482,14,0.76,0.57,0.95
9788925569482,15,4.29,3.22,5.36
9788925569482,16,4.73,3.54,5.91
9788925569543,1,0.7,0.52,0.87
9788925569543,2,0.7,0.52,0.87
9788925569543,3,0.67,0.5,0.84
9788925569543,4,0.67,0.5,0.84
9788925569543,5,0.66,0.49,0.82
9788925569543,6,0.66,0.49,0.82
9788925569543,7,0.7,0.52,0.87
9788925569543,8,0.7,0.52,0.87
9788925569543,9,0.67,0.5,0.84
9788925569543,10,0.67,0.5,0.84
9788925569543,11,0.66,0.49,0.82
9788925569543,12,0.66,0.49,0.82
9788925569543,13,0.76,0.57,0.95
9788925569543,14,0.76,0.57,0.95
9788925569543,15,4.81,3.61,6.02
9788925569543,16,4.81,3.61,6.02
9788925569574,1,0.7,0.52,0.87
9788925569574,2,0.7,0.52,0.87
9788925569574,3,0.67,0.5,0.84
9788925569574,4,0.67,0.5,0.84
9788925569574,5,0.66,0.49,0.82
9788925569574,6,0.66,0.49,0.82
9788925569574,7,0.7,0.52,0.87
9788925569574,8,0.7,0.52,0.87
9788925569574,9,0.67,0.5,0.84
9788925569574,10,0.67,0.5,0.84
9788925569574,11,0.66,0.49,0.82
9788925569574,12,0.66,0.49,0.82
9788925569574,13,0.76,0.57,0.95
9788925569574,14,0.76,0.57,0.95
9788925569574,15,4.81,3.61,6.02
9788925569574,16,4.81,3.61,6.02
9788925572765,1,0.7,0.52,0.87
9788925572765,2,0.7,0.52,0.87
9788925572765,3,0.67,0.5,0.84
9788925572765,4,0.67,0.5,0.84
9788925572765,5,0.66,0.49,0.82
9788925572765,6,0.66,0.49,0.82
9788925572765,7,0.7,0.52,0.87
9788925572765,8,0.7,0.52,0.87
9788925572765,9,0.67,0.5,0.84
9788925572765,10,0.67,0.5,0.84
9788925572765,11,0.66,0.49,0.82
9788925572765,12,0.66,0.49,0.82
9788925572765,13,0.76,0.57,0.95
9788925572765,14,0.76,0.57,0.95
9788925572765,15,4.81,3.61,6.02
9788925572765,16,4.81,3.61,6.02
9788925588650,1,0.7,0.52,0.87
9788925588650,2,0.7,0.52,0.87
9788925588650,3,0.67,0.5,0.84
9788925588650,4,0.67,0.5,0.84
9788925588650,5,0.66,0.49,0.82
9788925588650,6,0.66,0.49,0.82
9788925588650,7,0.7,0.52,0.87
9788925588650,8,0.7,0.52,0.87
9788925588650,9,0.67,0.5,0.84
9788925588650,10,0.67,0.5,0.84
9788925588650,11,0.66,0.49,0.82
9788925588650,12,0.66,0.49,0.82
9788925588650,13,0.76,0.57,0.95
9788925588650,14,0.76,0.57,0.95
9788925588650,15,4.81,3.61,6.02
9788925588650,16,4.81,3.61,6.02
9788925588711,1,0.7,0.52,0.87
9788925588711,2,0.7,0.52,0.87
9788925588711,3,0.67,0.5,0.84
9788925588711,4,0.67,0.5,0.84
9788925588711,5,0.66,0.49,0.82
9788925588711,6,0.66,0.49,0.82
9788925588711,7,0.7,0.52,0.87
9788925588711,8,0.7,0.52,0.87
9788925588711,9,0.67,0.5,0.84
9788925588711,10,0.29,0.21,0.36
9788925588711,11,0.66,0.49,0.82
9788925588711,12,0.66,0.49,0.82
9788925588711,13,0.76,0.57,0.95
9788925588711,14,0.76,0.57,0.95
9788925588711,15,4.81,3.61,6.02
9788925588711,16,4.43,3.32,5.54
9788925588735,1,15.54,11.65,19.42
9788925588735,2,15,11.25,18.75
9788925588735,3,14.97,11.23,18.71
9788925588735,4,14.7,11.03,18.38
9788925588735,5,15.41,11.56,19.27
9788925588735,6,14.67,11,18.33
9788925588735,7,14.6,10.95,18.25
9788925588735,8,15,11.25,18.75
9788925588735,9,14.98,11.23,18.72
9788925588735,10,15.11,11.33,18.89
9788925588735,11,15.28,11.46,19.09
9788925588735,12,14.95,11.21,18.69
9788925588735,13,14.88,11.16,18.6
9788925588735,14,14.79,11.09,18.49
9788925588735,15,105.17,78.88,131.47
9788925588735,16,104.71,78.53,130.89
9788927813637,1,0.7,0.52,0.87
9788927813637,2,0.7,0.52,0.87
9788927813637,3,0.67,0.5,0.84
9788927813637,4,0.67,0.5,0.84
9788927813637,5,0.66,0.49,0.82
9788927813637,6,0.66,0.49,0.82
9788927813637,7,0.7,0.52,0.87
9788927813637,8,0.7,0.52,0.87
9788927813637,9,0.67,0.5,0.84
9788927813637,10,0.67,0.5,0.84
9788927813637,11,0.66,0.49,0.82
9788927813637,12,0.66,0.49,0.82
9788927813637,13,0.76,0.57,0.95
9788927813637,14,0.76,0.57,0.95
9788927813637,15,4.81,3.61,6.02
9788927813637,16,4.81,3.61,6.02
9788927881612,1,0.7,0.52,0.87
9788927881612,2,0.7,0.52,0.87
9788927881612,3,0.67,0.5,0.84
9788927881612,4,0.67,0.5,0.84
9788927881612,5,0.66,0.49,0.82
9788927881612,6,0.66,0.49,0.82
9788927881612,7,0.7,0.52,0.87
9788927881612,8,0.7,0.52,0.87
9788927881612,9,0.67,0.5,0.84
9788927881612,10,0.67,0.5,0.84
9788927881612,11,0.66,0.49,0.82
9788927881612,12,0.66,0.49,0.82
9788927881612,13,0.76,0.57,0.95
9788927881612,14,0.76,0.57,0.95
9788927881612,15,4.81,3.61,6.02
9788927881612,16,4.81,3.61,6.02
9788927881643,1,0.7,0.52,0.87
9788927881643,2,0.7,0.52,0.87
9788927881643,3,0.67,0.5,0.84
9788927881643,4,0.67,0.5,0.84
9788927881643,5,0.66,0.49,0.82
9788927881643,6,0.66,0.49,0.82
9788927881643,7,0.7,0.52,0.87
9788927881643,8,0.7,0.52,0.87
9788927881643,9,0.43,0.32,0.54
9788927881643,10,0.67,0.5,0.84
9788927881643,11,0.66,0.49,0.82
9788927881643,12,0.66,0.49,0.82
9788927881643,13,0.76,0.57,0.95
9788927881643,14,0.76,0.57,0.95
9788927881643,15,4.81,3.61,6.02
9788927881643,16,4.57,3.43,5.72
9788928707577,1,0.7,0.52,0.87
9788928707577,2,0.7,0.52,0.87
9788928707577,3,0.67,0.5,0.84
9788928707577,4,0.67,0.5,0.84
9788928707577,5,0.66,0.49,0.82
9788928707577,6,0.66,0.49,0.82
9788928707577,7,0.7,0.52,0.87
9788928707577,8,0.7,0.52,0.87
9788928707577,9,0.67,0.5,0.84
9788928707577,10,0.67,0.5,0.84
9788928707577,11,0.66,0.49,0.82
9788928707577,12,0.66,0.49,0.82
9788928707577,13,0.76,0.57,0.95
9788928707577,14,0.76,0.57,0.95
9788928707577,15,4.81,3.61,6.02
9788928707577,16,4.81,3.61,6.02
9788928783120,1,0.7,0.52,0.87
9788928783120,2,0.7,0.52,0.87
9788928783120,3,0.67,0.5,0.84
9788928783120,4,0.67,0.5,0.84
9788928783120,5,0.66,0.49,0.82
9788928783120,6,0.66,0.49,0.82
9788928783120,7,0.7,0.52,0.87
9788928783120,8,0.7,0.52,0.87
9788928783120,9,0.67,0.5,0.84
9788928783120,10,0.67,0.5,0.84
9788928783120,11,0.66,0.49,0.82
9788928783120,12,0.66,0.49,0.82
9788928783120,13,0.76,0.57,0.95
9788928783120,14,0.76,0.57,0.95
9788928783120,15,4.81,3.61,6.02
9788928783120,16,4.81,3.61,6.02
9788928783137,1,0.7,0.52,0.87
9788928783137,2,0.7,0.52,0.87
9788928783137,3,0.67,0.5,0.84
9788928783137,4,0.67,0.5,0.84
9788928783137,5,0.66,0.49,0.82
9788928783137,6,0.66,0.49,0.82
9788928783137,7,0.7,0.52,0.87
9788928783137,8,0.7,0.52,0.87
9788928783137,9,0.67,0.5,0.84
9788928783137,10,0.67,0.5,0.84
9788928783137,11,0.66,0.49,0.82
9788928783137,12,0.66,0.49,0.82
9788928783137,13,0.76,0.57,0.95
9788928783137,14,0.76,0.57,0.95
9788928783137,15,4.81,3.61,6.02
9788928783137,16,4.81,3.61,6.02
9788930104272,1,14.53,10.9,18.16
9788930104272,2,14.66,11,18.33
9788930104272,3,14.47,10.86,18.09
9788930104272,4,14.52,10.89,18.15
9788930104272,5,14.63,10.97,18.29
9788930104272,6,14.26,10.7,17.83
9788930104272,7,14.26,10.7,17.83
9788930104272,8,14.53,10.9,18.16
9788930104272,9,14.32,10.74,17.9
9788930104272,10,14.49,10.87,18.12
9788930104272,11,14.26,10.7,17.83
9788930104272,12,14.21,10.66,17.77
9788930104272,13,14.47,10.85,18.09
9788930104272,14,14.45,10.83,18.06
9788930104272,15,101.55,76.16,126.94
9788930104272,16,100.53,75.39,125.66
9788931011623,1,0.7,0.52,0.87
9788931011623,2,0.7,0.52,0.87
9788931011623,3,0.67,0.5,0.84
9788931011623,4,0.67,0.5,0.84
9788931011623,5,0.66,0.49,0.82
9788931011623,6,0.66,0.49,0.82
9788931011623,7,0.7,0.52,0.87
9788931011623,8,0.7,0.52,0.87
9788931011623,9,0.67,0.5,0.84
9788931011623,10,0.67,0.5,0.84
9788931011623,11,1,0.75,1.25
9788931011623,12,0.66,0.49,0.82
9788931011623,13,0.76,0.57,0.95
9788931011623,14,0.76,0.57,0.95
9788931011623,15,4.81,3.61,6.02
9788931011623,16,5.15,3.87,6.44
9788931021295,1,0.7,0.52,0.87
9788931021295,2,0.7,0.52,0.87
9788931021295,3,0.67,0.5,0.84
9788931021295,4,0.67,0.5,0.84
9788931021295,5,0.66,0.49,0.82
9788931021295,6,0.66,0.49,0.82
9788931021295,7,0.7,0.52,0.87
9788931021295,8,0.7,0.52,0.87
9788931021295,9,0.67,0.5,0.84
9788931021295,10,0.67,0.5,0.84
9788931021295,11,0.66,0.49,0.82
9788931021295,12,0.66,0.49,0.82
9788931021295,13,0.76,0.57,0.95
9788931021295,14,0.76,0.57,0.95
9788931021295,15,4.81,3.61,6.02
9788931021295,16,4.81,3.61,6.02
9788931021516,1,0.7,0.52,0.87
9788931021516,2,0.7,0.52,0.87
9788931021516,3,0.67,0.5,0.84
9788931021516,4,0.67,0.5,0.84
9788931021516,5,0.66,0.49,0.82
9788931021516,6,0.66,0.49,0.82
9788931021516,7,0.7,0.52,0.87
9788931021516,8,0.7,0.52,0.87
9788931021516,9,0.67,0.5,0.84
9788931021516,10,0.67,0.5,0.84
9788931021516,11,0.66,0.49,0.82
9788931021516,12,0.66,0.49,0.82
9788931021516,13,0.76,0.57,0.95
9788931021516,14,0.76,0.57,0.95
9788931021516,15,4.81,3.61,6.02
9788931021516,16,4.81,3.61,6.02
9788931477429,1,14.61,10.95,18.26
9788931477429,2,14.78,11.08,18.47
9788931477429,3,14.63,10.97,18.28
9788931477429,4,14.6,10.95,18.24
9788931477429,5,14.7,11.03,18.38
9788931477429,6,14.58,10.93,18.22
9788931477429,7,13.54,10.15,16.92
9788931477429,8,14.66,11,18.33
9788931477429,9,14.79,11.09,18.49
9788931477429,10,14.61,10.95,18.26
9788931477429,11,14.41,10.81,18.01
9788931477429,12,14.55,10.92,18.19
9788931477429,13,14.91,11.18,18.63
9788931477429,14,14.22,10.67,17.78
9788931477429,15,102.79,77.09,128.49
9788931477429,16,100.78,75.58,125.97
9788931477436,1,0.7,0.52,0.87
9788931477436,2,0.7,0.52,0.87
9788931477436,3,0.67,0.5,0.84
9788931477436,4,0.14,0.11,0.18
9788931477436,5,0.66,0.49,0.82
9788931477436,6,0.66,0.49,0.82
9788931477436,7,0.7,0.52,0.87
9788931477436,8,0.7,0.52,0.87
9788931477436,9,0.67,0.5,0.84
9788931477436,10,0.67,0.5,0.84
9788931477436,11,0.66,0.49,0.82
9788931477436,12,0.66,0.49,0.82
9788931477436,13,0.76,0.57,0.95
9788931477436,14,0.76,0.57,0.95
9788931477436,15,4.29,3.22,5.36
9788931477436,16,4.81,3.61,6.02
9788931481082,1,0.7,0.52,0.87
9788931481082,2,0.7,0.52,0.87
9788931481082,3,0.67,0.5,0.84
9788931481082,4,0.67,0.5,0.84
9788931481082,5,0.66,0.49,0.82
9788931481082,6,0.66,0.49,0.82
9788931481082,7,0.7,0.52,0.87
9788931481082,8,0.7,0.52,0.87
9788931481082,9,0.67,0.5,0.84
9788931481082,10,0.67,0.5,0.84
9788931481082,11,0.66,0.49,0.82
9788931481082,12,0.66,0.49,0.82
9788931481082,13,0.76,0.57,0.95
9788931481082,14,0.76,0.57,0.95
9788931481082,15,4.81,3.61,6.02
9788931481082,16,4.81,3.61,6.02
9788931481907,1,14.92,11.19,18.66
9788931481907,2,14.55,10.91,18.19
9788931481907,3,14.31,10.73,17.89
9788931481907,4,14.55,10.91,18.18
9788931481907,5,14.82,11.11,18.52
9788931481907,6,14.58,10.94,18.23
9788931481907,7,14.53,10.89,18.16
9788931481907,8,14.92,11.19,18.65
9788931481907,9,14.79,11.09,18.49
9788931481907,10,14.65,10.99,18.32
9788931481907,11,14.79,11.09,18.48
9788931481907,12,14.34,10.76,17.93
9788931481907,13,14.35,10.76,17.94
9788931481907,14,14.74,11.05,18.42
9788931481907,15,102.08,76.56,127.6
9788931481907,16,102.76,77.07,128.45
9788931483192,1,0.7,0.52,0.87
9788931483192,2,0.7,0.52,0.87
9788931483192,3,0.67,0.5,0.84
9788931483192,4,0.67,0.5,0.84
9788931483192,5,0.66,0.49,0.82
9788931483192,6,0.66,0.49,0.82
9788931483192,7,0.7,0.52,0.87
9788931483192,8,0.7,0.52,0.87
9788931483192,9,0.14,0.11,0.18
9788931483192,10,0.67,0.5,0.84
9788931483192,11,0.66,0.49,0.82
9788931483192,12,0.66,0.49,0.82
9788931483192,13,0.76,0.57,0.95
9788931483192,14,0.76,0.57,0.95
9788931483192,15,4.81,3.61,6.02
9788931483192,16,4.29,3.22,5.36
9788931505238,1,0.7,0.52,0.87
9788931505238,2,0.7,0.52,0.87
9788931505238,3,0.67,0.5,0.84
9788931505238,4,0.67,0.5,0.84
9788931505238,5,0.66,0.49,0.82
9788931505238,6,0.66,0.49,0.82
9788931505238,7,0.7,0.52,0.87
9788931505238,8,0.7,0.52,0.87
9788931505238,9,0.67,0.5,0.84
9788931505238,10,0.67,0.5,0.84
